"id";"music";"countplay";"followers";"streams";"popularity";"dance";"energy";"loudness";"speechiness";"acousticness";"liveness";"time";"durationms";"valence"
"1074";"Money In The Grave (Drake ft. Rick Ross)";27;56327031;4403348;78;0.831;0.502;-4.045;0.046;0.101;0.122;100.541;205427;0.101
"1075";"Say So (feat. Nicki Minaj)";9;8671649;4385148;69;0.856;0.641;-4.64;0.204;0.119;0.427;111.004;206221;0.745
"1076";"Karaoke";1;1251372;4374448;0;0.929;0.625;-5.728;0.14;0.289;0.386;122.03;156493;0.578
"1077";"Know Your Worth";21;14190858;4374392;76;0.79;0.694;-7.726;0.0708;0.145;0.281;103.007;181436;0.508
"1078";"No Idea";27;1606884;4369849;80;0.652;0.631;-5.718;0.0893;0.524;0.165;127.998;154424;0.35
"1079";"Airwaves";7;208926;4352767;71;0.885;0.578;-7.416;0.0783;0.0739;0.102;131.999;178933;0.388
"1080";"Kill This Love";1;23848461;4341050;76;0.763;0.835;-5.234;0.191;0.323;0.225;131.875;191050;0.645
"1081";"Lights Up";24;16127908;4325411;75;0.575;0.621;-8.165;0.032;0.0392;0.141;101.987;172213;0.27
"1082";"Lose You To Love Me";27;28931149;4322088;81;0.488;0.343;-8.985;0.0436;0.556;0.21;102.819;206459;0.0978
"1083";"Girls Like You (feat. Cardi B)";18;32279979;4318772;66;0.851;0.541;-6.825;0.0505;0.568;0.13;124.959;235545;0.448
"1084";"PA' ROMPERLA";8;36177712;4312675;72;0.772;0.83;-5.019;0.0599;0.016;0.0843;94.011;194200;0.697
"1085";"VACATION";1;6298789;6883487;51;0.821;0.61;-6.22;0.0959;0.0247;0.185;110.973;192936;0.47
"1086";"Big Body Benz";1;1683006;6707101;61;0.884;0.451;-8.969;0.393;0.0731;0.268;94.024;148284;0.311
"1087";"Ich weiß nicht mal wie sie heißt";1;4093115;5827600;57;0.498;0.836;-3.905;0.184;0.525;0.0994;199.846;168750;0.609
"1088";"Fútbol & Rumba (feat. Enrique Iglesias)";4;18306226;5124116;67;0.735;0.916;-2.082;0.117;0.397;0.0918;167.994;221429;0.691
"1089";"Bleed";1;5865895;5095478;61;0.698;0.572;-7.735;0.198;0.135;0.154;71.446;176959;0.391
"1090";"Snow On Tha Bluff";1;14103694;5060764;66;0.586;0.512;-8.819;0.0668;0.723;0.119;75.857;235480;0.235
"1091";"Djomb - Bien ou quoi";2;300500;4924714;64;0.945;0.676;-6.6;0.207;0.172;0.322;123.109;141893;0.631
"1092";"In Your Eyes (feat. Alida)";15;2786366;4654587;71;0.57;0.672;-5.888;0.0716;0.172;0.0768;120.018;208222;0.461
"1093";"Stupid Love";14;1251372;4609858;0;0.68;0.825;-4.296;0.0702;0.00173;0.27;117.987;193533;0.784
"1094";"Shotta Flow 5";2;3372385;4513982;62;0.806;0.749;-5.268;0.328;0.0838;0.0621;140.032;145167;0.77
"1095";"IDK You Yet";5;207170;4473413;79;0.648;0.308;-11.729;0.04;0.886;0.124;76.997;184638;0.198
"1096";"Piece Of Your Heart";25;441714;4422905;79;0.677;0.744;-6.806;0.0295;0.0404;0.074;124.08;152913;0.631
"1097";"Na Raba Toma Tapão";4;352402;4396629;61;0.962;0.787;1.509;0.0554;0.666;0.176;130.003;165231;0.968
"1098";"La Santa";17;36177712;4384527;79;0.744;0.868;-4.524;0.047;0.0326;0.0822;93.037;206420;0.586
"1099";"Make You Mine";15;165504;4356213;77;0.606;0.799;-4.452;0.0261;0.0128;0.15;103.014;232907;0.638
"1100";"ROCKSTAR (feat. Roddy Ricch) - BLM REMIX";1;7601122;7353153;62;0.747;0.689;-7.246;0.242;0.197;0.0884;89.901;204547;0.75
"1101";"Make It Rain";1;6852509;6042929;64;0.54;0.77;-3.981;0.389;0.194;0.372;159.494;204000;0.565
"1102";"M' Manc (con Geolier & Sfera Ebbasta)";1;40045;5171235;66;0.703;0.704;-6.117;0.0641;0.048;0.41;139.933;180000;0.725
"1103";"Emotions 2.0";1;1700759;5113459;65;0.788;0.491;-9.884;0.109;0.386;0.107;98.543;146028;0.271
"1104";"P2";15;11821805;4769996;73;0.775;0.72;-5.353;0.193;0.0236;0.114;155.086;234627;0.49
"1105";"Selfish";11;3370013;4754830;70;0.375;0.461;-6.202;0.0279;0.627;0.386;75.217;223270;0.233
"1106";"Surrender";6;120208;4627942;76;0.39;0.448;-8.57;0.0276;0.8;0.107;144.89;183103;0.077
"1107";"Turks (with Gunna & ft. Travis Scott)";6;2613211;4623279;67;0.894;0.618;-4.356;0.129;0.0808;0.558;119.1;161320;0.379
"1108";"BYE ME FUI";6;36177712;4567732;72;0.712;0.599;-6.342;0.112;0.412;0.103;179.788;178000;0.588
"1109";"Vete";25;36177712;4486408;78;0.886;0.672;-4.394;0.188;0.0363;0.101;91.976;192024;0.526
"1110";"Like It Is";12;7593792;4463865;68;0.794;0.728;-6.759;0.114;0.121;0.227;105.024;183067;0.36
"1111";"My Oh My (feat. DaBaby)";24;22698747;4413457;78;0.724;0.491;-6.024;0.0296;0.018;0.0887;105.046;170746;0.383
"1112";"Let Me Down Slowly";19;2808285;4393932;82;0.652;0.557;-5.714;0.0318;0.74;0.124;150.073;169354;0.483
"1113";"BELIEVE IT";12;3129968;4361970;74;0.43;0.7;-5.35;0.264;0.0902;0.216;158.373;183219;0.731
"1114";"Boot";1;1674348;6375562;54;0.534;0.565;-7.546;0.307;0.0627;0.112;194.034;193360;0.529
"1115";"Riot";1;29566516;5163633;70;0.509;0.542;-8.027;0.442;0.019;0.23;97.767;78681;0.151
"1116";"VALLA NEIN (feat. Luciano)";1;1101597;5029858;55;0.761;0.657;-7.246;0.138;0.114;0.356;135.909;182040;0.589
"1117";"I’m Ready (with Demi Lovato)";8;17097317;4764355;68;0.501;0.674;-6.363;0.0408;0.00346;0.282;155.051;200838;0.152
"1118";"This Is America";2;8099554;4727415;71;0.854;0.463;-6.159;0.137;0.117;0.354;120.024;225773;0.549
"1119";"Fantasias";24;6096559;4432324;75;0.879;0.703;-4.219;0.0701;0.143;0.0569;94.004;199711;0.788
"1120";"BAD CON NICKY";5;36177712;4432210;71;0.59;0.729;-4.95;0.0893;0.321;0.659;93.094;202240;0.712
"1121";"If I Can't Have You";17;33893352;4364166;76;0.692;0.809;-4.198;0.0602;0.524;0.147;123.911;190800;0.864
"1122";"What A Man Gotta Do";21;5436999;4360660;77;0.852;0.698;-7.206;0.0629;0.00839;0.0773;113.039;180645;0.324
"1123";"Callaita";23;36177712;4350496;81;0.61;0.624;-4.773;0.309;0.6;0.243;176.169;250534;0.244
"1124";"Solitaires (feat. Travis Scott)";4;10491105;4334669;67;0.691;0.632;-7.598;0.0513;0.122;0.0646;169.982;205666;0.488
"1125";"XO Tour Llif3";10;11821805;4314080;82;0.732;0.75;-6.366;0.231;0.00264;0.109;155.096;182707;0.401
"1126";"changes";5;29566516;4299334;81;0.669;0.308;-10.068;0.029;0.883;0.0984;64.934;121887;0.52
"1127";"Suicidal (Remix) [feat. Juice WRLD]";11;6332535;4296154;76;0.655;0.441;-5.245;0.0629;0.474;0.099;139.957;225857;0.273
"1128";"Level of Concern";9;20829526;4252898;72;0.754;0.583;-7.34;0.0432;0.32;0.144;122.012;220051;0.77
"1129";"Alice";1;18585963;10342277;64;0.723;0.88;-4.287;0.038;0.00334;0.0632;123.036;177600;0.323
"1130";"Free Woman";1;18585963;9266945;63;0.731;0.927;-3.634;0.0781;0.0228;0.187;119.006;191467;0.478
"1131";"Fun Tonight";1;18585963;7907329;58;0.645;0.923;-4.262;0.0725;0.364;0.14;117.945;173427;0.323
"1132";"Sine From Above (with Elton John)";1;18585963;7734309;60;0.642;0.792;-5.746;0.0488;0.158;0.68;122.965;244880;0.0903
"1133";"Enigma";1;18585963;7695566;59;0.669;0.804;-4.035;0.036;0.0306;0.694;116.001;179760;0.184
"1134";"Replay";1;18585963;7479618;63;0.658;0.878;-3.875;0.123;0.00792;0.944;122.015;186653;0.683
"1135";"Plastic Doll";1;18585963;7451452;58;0.743;0.853;-4.842;0.04;0.0019;0.0872;121.028;221667;0.422
"1136";"Chromatica II";1;18585963;7136521;58;0.184;0.297;-14.534;0.0359;0.473;0.527;75.824;41867;0.113
"1137";"Babylon";1;18585963;6996402;61;0.698;0.799;-4.372;0.0342;0.0129;0.215;115.957;161733;0.351
"1138";"Chromatica I";1;18585963;6630385;58;0.184;0.297;-14.534;0.0359;0.473;0.527;75.824;41867;0.113
"1139";"1000 Doves";1;18585963;6069544;58;0.668;0.826;-4.466;0.0383;0.0236;0.474;122.973;215480;0.388
"1140";"Broken Glass";1;7593792;5867930;66;0.526;0.633;-7.002;0.134;0.372;0.129;171.044;203947;0.272
"1141";"In meinem Benz";1;NA;5494500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1142";"FLY";1;1101597;4681054;59;0.835;0.596;-6.637;0.297;0.137;0.164;100.706;174893;0.897
"1143";"SKRR";1;218931;4629320;60;0.803;0.649;-6.599;0.132;0.163;0.152;125.038;119040;0.584
"1144";"T.D (Lil Yachty & Tierra Whack feat. A$AP Rocky & Tyler. The Creator)";1;7358720;4601709;66;0.784;0.632;-6.083;0.347;0.156;0.605;124.603;232839;0.746
"1145";"Oprah's Bank Account (Lil Yachty & DaBaby feat. Drake)";1;7358720;4598294;69;0.836;0.617;-4.363;0.0534;0.17;0.319;138.066;206702;0.866
"1146";"Roadrunner";2;1683006;4596162;64;0.804;0.606;-9.045;0.242;0.137;0.111;99.024;149028;0.247
"1147";"Freedom";2;7593792;4573723;72;0.715;0.635;-6.591;0.0791;0.127;0.0862;112.887;198635;0.39
"1148";"Fame";4;1674348;4556947;62;0.811;0.645;-8.008;0.104;0.184;0.103;129.967;173761;0.474
"1149";"Daechwita";1;5564366;8908179;77;0.65;0.827;-4.014;0.0599;0.0229;0.121;144.995;225668;0.223
"1150";"COOLER THAN A BITCH (feat. Roddy Ricch)";1;3337982;6642144;67;0.837;0.586;-8.521;0.0807;0.281;0.134;117.066;197000;0.618
