"id";"music";"countplay";"followers";"streams";"popularity";"dance";"energy";"loudness";"speechiness";"acousticness";"liveness";"time";"durationms";"valence"
"1368";"Own It (feat. Ed Sheeran & Burna Boy)";10;2317758;5273046;72;0.817;0.781;-4.178;0.112;0.00838;0.123;104;216707;0.359
"1369";"Life Is Good (feat. Drake. DaBaby & Lil Baby) - Remix";2;10491105;5260351;61;0.81;0.566;-8.33;0.433;0.107;0.122;142.069;315346;0.582
"1370";"My Time";2;37151476;5212053;74;0.674;0.64;-5.139;0.0339;0.151;0.0925;99.908;234458;0.664
"1371";"100k Cash";1;4093115;5192813;52;0.701;0.714;-5.906;0.524;0.289;0.0883;86.91;173353;0.604
"1372";"Drown (feat. Clinton Kane)";1;14921269;5186141;74;0.573;0.739;-5.455;0.0581;0.212;0.175;120.077;174062;0.363
"1373";"me & ur ghost";7;4272745;5184069;71;0.742;0.679;-4.594;0.0259;0.0488;0.0754;100.041;201398;0.856
"1374";"QUE PRETENDES";8;29067437;5141047;77;0.639;0.791;-4.443;0.253;0.0275;0.362;92.603;222347;0.939
"1375";"You Need To Calm Down";9;42227614;5115153;78;0.771;0.671;-5.617;0.0553;0.00929;0.0637;85.026;171360;0.714
"1376";"Quizas";10;206225;5112244;73;0.727;0.815;-2.454;0.153;0.0258;0.231;176.075;216067;0.677
"1377";"Soltera - Remix";10;4963516;5078459;75;0.795;0.783;-4.271;0.0432;0.361;0.437;92.01;266087;0.799
"1378";"Trampoline (with ZAYN)";9;139434;5075520;73;0.619;0.459;-5.782;0.0334;0.56;0.137;126.803;184280;0.498
"1379";"Truth Hurts";10;3991674;5024683;77;0.715;0.624;-3.046;0.114;0.11;0.123;158.087;173325;0.412
"1380";"bury a friend";10;1251372;5020303;1;0.887;0.388;-14.505;0.349;0.739;0.106;120.035;193143;0.205
"1381";"Louder than bombs";1;37151476;10016907;72;0.643;0.667;-6.993;0.152;0.0433;0.0904;145.999;217404;0.485
"1382";"UGH!";1;37151476;9991177;72;0.72;0.824;-5.086;0.128;0.0394;0.0509;165.998;225012;0.333
"1383";"00:00 (Zero O’Clock)";1;37151476;9372219;72;0.566;0.548;-6.456;0.0579;0.0802;0.11;157.999;250296;0.196
"1384";"Friends";1;37151476;8822365;72;0.55;0.747;-5.211;0.0407;0.0668;0.0536;79.98;199339;0.648
"1385";"We are Bulletproof : the Eternal";1;37151476;8516710;72;0.526;0.575;-5.215;0.0309;0.225;0.108;84.047;261543;0.19
"1386";"Inner Child";1;37151476;8312399;71;0.589;0.696;-7.981;0.0725;0.017;0.0808;134.953;233266;0.332
"1387";"Moon";1;37151476;7850129;72;0.703;0.646;-6.658;0.0596;0.0104;0.191;141.87;208590;0.64
"1388";"Outro : Ego";1;37151476;6857808;69;0.808;0.903;-3.106;0.0958;0.0121;0.0993;116.988;196199;0.473
"1389";"Interlude : Shadow";1;37151476;6655856;68;0.385;0.798;-6.439;0.483;0.115;0.181;149.756;259821;0.141
"1390";"Respect";1;37151476;6373954;67;0.661;0.84;-4.805;0.116;0.00485;0.287;91.457;237540;0.524
"1391";"Tudo Ok";4;28017;5510844;57;0.814;0.755;-6.164;0.0942;0.239;0.306;79.976;178500;0.963
"1392";"Perreo en La Luna";9;206225;5135469;66;0.711;0.757;-4.188;0.29;0.268;0.367;174.013;218587;0.724
"1393";"Lose Yourself - From ""8 Mile"" Soundtrack";3;46814751;5118004;75;0.692;0.744;-4.565;0.257;0.00868;0.359;171.374;326467;0.0612
"1394";"all the good girls go to hell";8;47061119;5074485;75;0.726;0.444;-8.922;0.372;0.283;0.177;185.044;168840;0.569
"1395";"SENTADÃO";4;1050520;5013019;64;0.68;0.869;-1.94;0.0589;0.178;0.223;173.997;143448;0.924
"1396";"Lottery (Renegade)";1;1347589;4994448;61;0.915;0.556;-8.601;0.216;0.0145;0.0733;148.964;170947;0.67
"1397";"Si Te Vas";9;8766508;4954292;67;0.73;0.644;-4.124;0.132;0.0933;0.143;174.101;204907;0.554
"1398";"Que Calor (with J Balvin & El Alfa)";8;6223652;4950254;29;0.873;0.656;-6.043;0.068;0.00477;0.0726;125.982;206811;0.546
"1399";"Rich Rich";1;1700759;4938864;50;0.548;0.648;-4.796;0.292;0.0842;0.123;141.937;204319;0.232
"1400";"Indeciso";9;1251372;4897374;0;0.738;0.748;-4.902;0.0453;0.182;0.109;94.949;217253;0.896
"1401";"i love you";6;1251372;4863910;2;0.42;0.131;-18.435;0.0382;0.953;0.109;137.421;291796;0.12
"1402";"Mejor";1;3600989;4851895;63;0.524;0.577;-4.501;0.18;0.185;0.103;175.396;201361;0.19
"1403";"Give No Fxk";1;11692972;9652399;59;0.904;0.627;-5.608;0.222;0.0303;0.0923;145.976;224243;0.236
"1404";"Come Around Me";1;48544923;9533583;66;0.648;0.681;-8.389;0.0378;0.263;0.0971;157.941;200773;0.767
"1405";"Habitual";1;48544923;9120086;62;0.764;0.443;-6.625;0.0439;0.52;0.0749;138.999;168200;0.63
"1406";"All Around Me";1;48544923;9010535;63;0.566;0.438;-7.564;0.0367;0.809;0.212;117.127;136907;0.692
"1407";"Get Me (feat. Kehlani)";1;48544923;8362828;61;0.832;0.508;-6.913;0.149;0.0492;0.107;109.352;185427;0.75
"1408";"Second Emotion (feat. Travis Scott)";1;48544923;8109572;61;0.796;0.777;-6.112;0.0567;0.0276;0.095;141.97;202720;0.96
"1409";"Running Over (feat. Lil Dicky)";1;48544923;7493188;58;0.774;0.603;-7.319;0.0591;0.438;0.0869;149.982;179627;0.977
"1410";"Available";1;48544923;7473249;58;0.702;0.608;-6.843;0.0359;0.0736;0.129;75.012;195333;0.597
"1411";"Breathe Deeper";1;5064200;7142364;66;0.664;0.848;-4.51;0.0322;0.0245;0.172;104.998;372867;0.502
"1412";"Changes";1;48544923;6865229;62;0.485;0.412;-7.766;0.042;0.738;0.12;64.062;135493;0.612
"1413";"Confirmation";1;48544923;6520106;58;0.438;0.315;-8.186;0.0375;0.608;0.151;190.064;170587;0.449
"1414";"Mios mit Bars";1;942380;6341141;57;0.677;0.633;-7.353;0.0467;0.111;0.217;145.012;232147;0.404
"1415";"E.T.A.";1;48544923;6008945;58;0.465;0.494;-7.595;0.066;0.49;0.127;127.298;176733;0.457
"1416";"Borderline";1;5064200;5921044;77;0.621;0.873;-3.067;0.0369;0.0406;0.0824;97.96;237800;0.873
"1417";"Take It Out On Me";1;48544923;5858768;54;0.772;0.616;-4.673;0.102;0.00337;0.104;129.967;178013;0.279
"1418";"No Shame";2;7744095;5835260;62;0.576;0.807;-3.019;0.0374;0.0185;0.0963;90.932;192737;0.479
"1419";"Might Not Give Up (feat. Young Thug)";1;5865895;5503902;57;0.687;0.592;-6.378;0.224;0.203;0.279;178.83;225266;0.246
"1420";"That's What Love Is";1;48544923;5440037;59;0.639;0.437;-6.959;0.0355;0.692;0.12;147.575;165120;0.751
"1421";"Forever Yours - Avicii Tribute";4;1251372;5421905;15;0.53;0.612;-8.794;0.0518;0.253;0.246;119.255;193847;0.433
"1422";"Baby";3;191521;5376451;63;0.771;0.921;-4.228;0.109;0.166;0.119;128.021;148125;0.56
"1423";"One More Year";1;5064200;5279739;56;0.602;0.88;-5.414;0.0354;0.057;0.284;114.009;324013;0.493
"1424";"Good News";6;6189454;5210780;75;0.794;0.32;-12.92;0.173;0.853;0.112;174.088;342040;0.241
"1425";"wish you were gay";6;47061119;5187997;76;0.853;0.351;-10.198;0.241;0.39;0.752;118.028;221543;0.282
"1426";"Only The Young - Featured in Miss Americana";3;42227614;5111068;63;0.56;0.78;-4.895;0.0517;0.00244;0.0714;93.516;157507;0.602
"1427";"Lost In Yesterday";1;5064200;5096624;69;0.569;0.84;-4.123;0.118;0.0295;0.0995;183.059;249587;0.749
"1428";"At Least For Now";1;48544923;5033764;54;0.375;0.304;-9.897;0.0325;0.683;0.196;83.832;149653;0.295
"1429";"you should see me in a crown";4;1251372;4988054;0;0.683;0.534;-10.348;0.189;0.519;0.148;150.469;180567;0.284
"1430";"Too Good At Goodbyes";2;17097317;4984764;72;0.681;0.372;-8.237;0.0432;0.64;0.169;91.873;201000;0.476
"1431";"Intentions";1;48544923;28509534;77;0.806;0.546;-6.637;0.0575;0.3;0.102;147.986;212867;0.874
"1432";"Yikes";1;22170982;6561188;70;0.911;0.637;-8.381;0.447;0.0409;0.238;149.996;156882;0.66
"1433";"Yellow Hearts";7;82522;6554824;70;0.866;0.438;-8.943;0.0719;0.177;0.0743;129.039;223258;0.695
"1434";"Birthday";1;8153871;6207326;65;0.609;0.785;-3.32;0.0891;0.0502;0.171;151.995;181467;0.756
"1435";"HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX";7;437907;6107499;68;0.559;0.491;-6.406;0.0346;0.0567;0.0992;153.131;244874;0.114
"1436";"Good as Hell (feat. Ariana Grande) - Remix";7;3991674;6066001;71;0.668;0.892;-3.001;0.0645;0.298;0.735;95.927;159011;0.478
"1437";"I Do It (ft. Big Sean. Lil Baby)";2;10710088;5561205;60;0.804;0.528;-3.231;0.378;0.125;0.41;138.005;184440;0.321
"1438";"Get Me";2;48544923;5236560;61;0.832;0.508;-6.913;0.149;0.0492;0.107;109.352;185427;0.75
"1439";"Yo x Ti. Tu x Mi";7;4769627;5202210;74;0.78;0.759;-3.292;0.225;0.462;0.143;91.952;201040;0.579
"1440";"DJ No Pare (feat. Zion. Dalex. Lenny Tavárez) - Remix";7;2897862;5148516;72;0.743;0.709;-3.922;0.0879;0.0451;0.0809;170.001;258600;0.831
"1441";"EARFQUAKE";2;6782693;5079657;79;0.554;0.498;-8.866;0.0685;0.23;0.795;79.635;190067;0.413
"1442";"Pa' Olvidarme De Ella";7;7226268;5066711;74;0.728;0.542;-5.195;0.0514;0.259;0.136;90.016;227234;0.637
"1443";"Loco Contigo (feat. J. Balvin & Tyga)";7;7408249;5013732;77;0.694;0.758;-2.986;0.218;0.278;0.102;192.091;185195;0.371
"1444";"Psycho";7;5688315;4991751;76;0.664;0.666;-2.203;0.0446;0.193;0.0854;139.987;210560;0.405
"1445";"Suge";7;7601122;4986299;76;0.876;0.662;-6.482;0.426;0.0608;0.127;75.445;163320;0.844
"1446";"Con Altura";7;4769627;4961249;75;0.882;0.689;-4.027;0.124;0.39;0.0501;97.963;161627;0.746
"1447";"Only Human";7;5436999;4953866;74;0.795;0.496;-5.883;0.0722;0.108;0.0645;94.01;183000;0.874
"1448";"Eleven";5;14190858;4947780;68;0.679;0.408;-9.754;0.0882;0.133;0.23;129.079;206080;0.151
"1449";"Talk (feat. Disclosure)";6;14190858;4940984;73;0.9;0.4;-8.575;0.127;0.0516;0.0599;135.984;197573;0.346
"1450";"Hot (Remix) [feat. Gunna and Travis Scott]";7;3337982;4905155;68;0.845;0.631;-8.206;0.216;0.188;0.0806;111.983;279907;0.545
"1451";"Weiss";1;1045091;4872077;56;0.6;0.525;-6.585;0.423;0.393;0.111;96.989;162702;0.436
"1452";"Con Calma";7;1251372;4861378;3;0.737;0.86;-2.652;0.0594;0.11;0.0574;93.989;193227;0.656
"1453";"MIDDLE CHILD";7;14103694;4836113;79;0.837;0.364;-11.713;0.276;0.149;0.271;123.984;213594;0.463
"1454";"Otro Trago - Remix";7;8766508;4803294;74;0.725;0.79;-2.331;0.197;0.0711;0.0602;175.988;287773;0.763
"1455";"FML";5;621200;6350496;74;0.822;0.575;-5.95;0.0934;0.113;0.106;100.087;223000;0.616
"1456";"King Of My City";1;1251372;5922748;0;0.679;0.679;-6.747;0.167;0.443;0.153;119.921;148676;0.245
"1457";"Those Kinda Nights (feat. Ed Sheeran)";3;46814751;5823422;66;0.794;0.637;-6.29;0.339;0.028;0.0919;103.868;177693;0.393
"1458";"Mon Ami";1;1045091;5774770;53;0.801;0.731;-3.723;0.383;0.188;0.111;105.666;138409;0.537
"1459";"Break My Stride";3;30386;5312936;73;0.917;0.588;-11.047;0.0607;0.195;0.0914;110.077;184480;0.828
"1460";"Kein Wort";3;486474;5208651;62;0.746;0.592;-6.861;0.0914;0.462;0.187;160.065;162094;0.629
"1461";"Graveyard";6;15663384;5044853;71;0.667;0.583;-5.127;0.0747;0.231;0.181;92.043;181806;0.187
"1462";"Wake Up Call (feat. Trippie Redd)";1;2010879;5029979;56;0.642;0.669;-5.774;0.0486;0.318;0.119;156.084;175067;0.227
"1463";"Turn Me On (feat. Vula)";6;83743;4925843;76;0.737;0.828;-4.711;0.0396;0.0149;0.0862;124.051;208474;0.517
"1464";"Hips Don't Lie (feat. Wyclef Jean)";1;22136717;4918636;83;0.778;0.824;-5.892;0.0707;0.284;0.405;100.024;218093;0.758
"1465";"Liar";6;22698747;4896939;69;0.74;0.498;-6.684;0.0456;0.0169;0.319;98.016;207039;0.652
"1466";"Going Bad (feat. Drake)";4;5241145;4889500;79;0.889;0.496;-6.365;0.0905;0.259;0.252;86.003;180522;0.544
"1467";"ME! (feat. Brendon Urie of Panic! At The Disco)";1;42227614;4884909;77;0.61;0.83;-4.105;0.0571;0.033;0.118;182.162;193000;0.728
"1468";"Panini";5;5488666;4867723;74;0.703;0.594;-6.146;0.0752;0.342;0.123;153.848;114893;0.475
"1469";"idontwannabeyouanymore";2;47061119;4824483;78;0.483;0.412;-8.461;0.0402;0.737;0.116;170.163;203569;0.247
"1470";"The London (feat. J. Cole & Travis Scott)";5;6383275;4791732;72;0.796;0.586;-6.946;0.147;0.0247;0.132;97.981;200107;0.179
"1471";"223's (feat. 9lokknine)";6;6332535;4781697;68;0.932;0.547;-7.787;0.333;0.0388;0.0924;94.998;176640;0.695
"1472";"Darkness";2;46814751;7618955;65;0.671;0.623;-7.161;0.308;0.00998;0.643;75.055;337147;0.195
"1473";"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)";2;46814751;7157402;66;0.68;0.82;-4.197;0.151;0.0614;0.597;140.033;234653;0.243
"1474";"Blue World";2;6189454;7060589;75;0.742;0.553;-8.98;0.419;0.389;0.0694;84.931;209440;0.508
"1475";"Liberdade Provisória";5;13312073;6442626;66;0.668;0.684;-5.937;0.0527;0.627;0.923;108.138;187986;0.7
"1476";"Unaccommodating (feat. Young M.A)";2;46814751;6374807;65;0.852;0.752;-5.793;0.0597;0.0169;0.394;89.95;216600;0.389
"1477";"Donuts";1;1140383;6113037;62;0.784;0.703;-7.491;0.236;0.0973;0.0754;141.035;162938;0.556
"1478";"Leaving Heaven (feat. Skylar Grey)";2;46814751;5466161;64;0.661;0.748;-4.809;0.206;0.175;0.254;171.983;265947;0.509
"1479";"Zu Ende";1;1045091;5297101;57;0.707;0.747;-5.212;0.279;0.307;0.183;80.025;197861;0.491
"1480";"B.I.T.C.H.";1;4794212;5215211;59;0.742;0.731;-4.362;0.306;0.0851;0.131;174.019;183143;0.547
"1481";"Look At Her Now";5;1251372;5066377;0;0.753;0.564;-7.908;0.251;0.114;0.359;77.341;162596;0.55
"1482";"Bi Sonraki Hayatımda Gel";1;862965;5037967;57;0.933;0.448;-4.491;0.136;0.0253;0.104;103.981;167350;0.737
"1483";"Legends";4;19102888;4922369;77;0.594;0.798;-5.244;0.0844;0.115;0.143;142.049;191840;0.381
"1484";"11 PM";4;26784251;4891989;76;0.777;0.712;-4.84;0.277;0.217;0.091;95.692;175733;0.68
"1485";"Post Malone (feat. RANI)";3;639516;4855270;73;0.59;0.642;-3.87;0.122;0.0771;0.105;107.356;174444;0.651
"1486";"In Too Deep";2;46814751;4824037;62;0.72;0.767;-5.839;0.214;0.0387;0.202;88.966;194707;0.595
"1487";"Premonition - Intro";1;46814751;10830400;62;0.847;0.637;-5.193;0.367;0.0258;0.382;165.979;173893;0.511
"1488";"I Can See";1;6189454;10086930;60;0.699;0.503;-9.922;0.0882;0.391;0.0996;114.86;220853;0.0546
"1489";"Hand Me Downs";1;6189454;9521654;64;0.677;0.33;-11.198;0.149;0.474;0.064;68.985;298440;0.336
"1490";"No Regrets (feat. Don Toliver)";1;46814751;9493884;63;0.756;0.747;-5.407;0.046;0.0048;0.588;134.935;200947;0.0687
"1491";"Complicated";1;6189454;9443725;62;0.831;0.36;-8.073;0.052;0.136;0.0703;75.014;232212;0.601
"1492";"Lock It Up (feat. Anderson .Paak)";1;46814751;9328951;64;0.848;0.745;-3.052;0.221;0.0949;0.0796;137.024;170227;0.516
"1493";"Marsh";1;46814751;9260007;62;0.871;0.493;-6.356;0.205;0.0134;0.385;144.989;200573;0.0495
"1494";"Stepdad";1;46814751;9159901;61;0.779;0.805;-3.121;0.178;0.018;0.321;145.68;213413;0.557
"1495";"Yah Yah (feat. Royce Da 5'9"". Black Thought. Q-Tip & Denaun)";1;46814751;8695060;60;0.458;0.966;-2.107;0.384;0.14;0.11;183.586;286960;0.356
"1496";"Never Love Again";1;46814751;8335790;62;0.747;0.899;-5.125;0.246;0.1;0.486;92.029;177547;0.581
"1497";"Woods";1;6189454;8329349;64;0.779;0.362;-10.847;0.0474;0.135;0.111;85.011;286387;0.46
"1498";"Farewell";1;46814751;8277608;61;0.89;0.664;-6.625;0.106;0.00487;0.257;93.007;247733;0.467
"1499";"Everybody";1;6189454;8172098;62;0.875;0.599;-9.077;0.138;0.0333;0.113;152.061;256507;0.112
"1500";"Alfred - Interlude";1;46814751;8030151;57;0.429;0.231;-20.43;0.402;0.878;0.279;74.545;30133;0.914
"1501";"Little Engine";1;46814751;7913461;60;0.769;0.811;-4.162;0.228;0.0234;0.0451;155.081;177293;0.76
"1502";"I Will (feat. KXNG Crooked. Royce Da 5'9"" & Joell Ortiz)";1;46814751;7115414;60;0.635;0.543;-5.941;0.067;0.0454;0.272;98.743;303000;0.036
"1503";"Still Learning";1;15663384;7050815;59;0.708;0.661;-6.543;0.0546;0.0396;0.113;102.046;211784;0.317
"1504";"Surf";1;6189454;6960699;67;0.828;0.182;-13.066;0.166;0.754;0.15;147.279;330507;0.231
"1505";"That's On Me";1;6189454;6462701;60;0.583;0.499;-10.086;0.0261;0.591;0.33;155.199;217868;0.342
"1506";"Once A Day";1;6189454;6159873;61;0.762;0.054;-16.735;0.0503;0.947;0.124;96.838;160267;0.339
"1507";"Big Drip";1;1700759;6010373;48;0.791;0.535;-6.753;0.311;0.0448;0.129;158.922;173785;0.443
"1508";"Hands";1;6189454;5934464;58;0.739;0.627;-8.608;0.171;0.0459;0.159;74.962;199981;0.542
"1509";"Dans l'espace (feat. Heuss l'Enfoiré)";1;951798;5678754;59;0.916;0.57;-6.278;0.18;0.0286;0.0851;110.05;169702;0.7
"1510";"Blanche";1;1603670;5656775;65;0.776;0.713;-6.121;0.143;0.525;0.306;127.987;193453;0.551
"1511";"Vulnerable";1;28931149;7531094;55;0.695;0.573;-8.882;0.167;0.132;0.156;100.031;192172;0.38
"1512";"Dance Again";1;28931149;7394604;56;0.784;0.552;-7.261;0.0871;0.0447;0.192;111.984;170498;0.465
"1513";"Ring";1;28931149;6693229;55;0.873;0.51;-5.35;0.0661;0.565;0.0738;110.953;148776;0.871
"1514";"Crowded Room (feat. 6LACK)";1;28931149;6483001;55;0.724;0.415;-8.408;0.0518;0.764;0.103;89.999;186459;0.328
"1515";"People You Know";1;28931149;6255954;54;0.695;0.62;-8.082;0.0521;0.0881;0.111;150.032;194900;0.62
"1516";"Up All Night";3;14190858;5834918;69;0.665;0.712;-7.536;0.0527;0.00103;0.102;93.992;157220;0.669
"1517";"Nice To Meet Ya";3;7564659;5730427;68;0.591;0.841;-4.351;0.0304;0.0119;0.395;109.034;158805;0.392
"1518";"Into the Unknown";3;1251372;5705999;74;0.323;0.405;-8.533;0.0413;0.849;0.138;145.104;194848;0.274
"1519";"Let Me Get Me";1;28931149;5356671;51;0.826;0.571;-9.263;0.0426;0.249;0.215;121.06;189145;0.475
"1520";"A Sweeter Place (feat. Kid Cudi)";1;28931149;5291134;52;0.583;0.777;-6.991;0.185;0.109;0.108;190.054;263306;0.31
"1521";"Stuck In A Dream (feat. Gunna)";3;3818503;5258047;73;0.748;0.648;-6.445;0.0816;0.484;0.126;139.952;123560;0.726
"1522";"Take What You Want (feat. Ozzy Osbourne & Travis Scott)";3;33663701;5199618;75;0.499;0.8;-2.665;0.0502;0.0906;0.147;139.919;229573;0.272
"1523";"Tip Toe (feat. A Boogie Wit da Hoodie)";1;6608815;5150724;63;0.757;0.673;-8.513;0.141;0.095;0.338;92.958;185806;0.574
"1524";"Start Wit Me (feat. Gunna)";2;6608815;5085706;68;0.886;0.479;-8.054;0.334;0.077;0.135;130.029;158692;0.408
"1525";"Diamonds (with Normani)";1;4794212;4981484;58;0.785;0.753;-3.841;0.0873;0.188;0.265;94.012;199301;0.488
"1526";"Don't Call Me Up";3;1374784;4931458;79;0.674;0.881;-2.853;0.147;0.296;0.0793;98.994;178480;0.234
"1527";"Death";3;6434201;4929396;65;0.802;0.82;-5.969;0.146;0.0579;0.149;164.005;172196;0.613
"1528";"Calma - Remix";3;1353049;4879713;76;0.826;0.773;-4.218;0.0524;0.323;0.143;126.899;238200;0.761
"1529";"Cut You Off";1;28931149;4874380;51;0.855;0.294;-8.676;0.286;0.3;0.091;139.745;182017;0.842
"1530";"Kinda Crazy";1;28931149;4866777;49;0.691;0.446;-10.304;0.0472;0.484;0.183;93.03;212436;0.534
"1531";"2002";3;8153871;4831644;81;0.697;0.683;-2.881;0.117;0.0372;0.137;96.133;186987;0.603
"1532";"Taki Taki (feat. Selena Gomez. Ozuna & Cardi B)";3;7408249;4816702;71;0.842;0.801;-4.167;0.228;0.157;0.0642;95.881;212500;0.617
"1533";"Family";2;18195884;6145132;67;0.584;0.607;-6.605;0.0356;0.426;0.101;117.817;194827;0.374
"1534";"GANG GANG";2;437907;5898484;69;0.859;0.6;-4.63;0.301;0.071;0.353;123.017;244761;0.568
"1535";"Had Enough (feat. Quavo & Offset)";2;437907;5748010;66;0.75;0.789;-4.578;0.108;0.253;0.129;147.957;157133;0.673
"1536";"WHAT TO DO? (feat. Don Toliver)";2;437907;5586351;70;0.643;0.594;-5.191;0.0312;0.0695;0.115;118.037;250142;0.195
"1537";"Writing on the Wall (feat. Post Malone. Cardi B & Rvssian)";2;4039037;5229616;59;0.773;0.836;-2.326;0.153;0.283;0.0828;112.01;201271;0.497
"1538";"VALENTINO";2;1276406;4935492;74;0.746;0.717;-4.841;0.179;0.199;0.132;150.964;179133;0.523
"1539";"fuck. i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”";1;NA;4856458;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1540";"Roller";2;1674348;4732292;70;0.941;0.758;-6.47;0.17;0.0256;0.193;128.017;157093;0.683
"1541";"Never Really Over";1;18936929;4679948;74;0.77;0.882;-4.792;0.0602;0.194;0.316;99.991;223523;0.385
"1542";"One Kiss (with Dua Lipa)";2;21946934;4594157;81;0.791;0.862;-3.24;0.11;0.037;0.0814;123.994;214847;0.592
"1543";"Fantasía";2;29238936;4543012;59;0.695;0.719;-5.938;0.0903;0.227;0.0884;180.074;175187;0.781
"1544";"Trampoline";1;139434;8896030;73;0.619;0.459;-5.782;0.0334;0.56;0.137;126.803;184280;0.498
"1545";"GATTI";1;437907;7685470;77;0.594;0.676;-5.808;0.344;0.135;0.163;143.477;181145;0.472
"1546";"Candy";1;8671649;5632102;71;0.689;0.516;-5.857;0.0444;0.513;0.163;124.876;190920;0.209
"1547";"JACKBOYS";1;437907;5363493;56;0.413;0.13;-25.166;0.0336;0.9;0.111;123.342;46837;0.0676
"1548";"Combatchy (feat. MC Rebecca)";1;10741972;5149797;64;0.826;0.73;-3.032;0.0809;0.383;0.0197;150.134;157600;0.605
"1549";"Old Town Road";1;5488666;4852004;81;0.878;0.619;-5.56;0.102;0.0533;0.113;136.041;157067;0.639
"1550";"Let Me Know (I Wonder Why Freestyle)";1;19102888;4701532;76;0.635;0.537;-7.895;0.0832;0.172;0.418;125.028;215381;0.383
"1551";"Ne reviens pas";1;1390813;4676857;62;0.932;0.778;-3.384;0.0638;0.212;0.168;124.996;188613;0.933
"1552";"New Rules";1;27167675;4630675;79;0.762;0.7;-6.021;0.0694;0.00261;0.153;116.073;209320;0.608
"1553";"Cheirosa - Ao Vivo";1;15019109;4623030;66;0.528;0.87;-3.123;0.0851;0.24;0.333;152.37;181930;0.714
"1554";"Havana (feat. Young Thug)";1;22698747;4620876;81;0.765;0.523;-4.333;0.03;0.184;0.132;104.988;217307;0.394
"1555";"Surtada - Remix Brega Funk";1;208630;4607385;60;0.832;0.55;-7.026;0.0587;0.249;0.182;154.064;152784;0.881
"1556";"Lover (Remix) [feat. Shawn Mendes]";1;42227614;4595450;70;0.448;0.603;-7.176;0.064;0.433;0.0862;205.272;221307;0.422
